,0,1,2,3,4,5,6,7
0,"[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]"
1,"[[6300], [], [-1700], [3300], [4000], [5200], [], [], [], [], [], []]","[[], [], [-3600], [1400], [2100], [3300], [], [], [], [], [], []]","[[], [], [-5200], [-200], [500], [1700], [2800], [3400], [], [], [], []]","[[], [], [-3600], [1400], [2100], [3300], [4400], [5000], [6000], [], [], []]","[[], [], [-4000], [1000], [1700], [2900], [4000], [4600], [5600], [], [], []]","[[], [], [-6100], [-1100], [-400], [800], [1900], [2500], [3500], [], [], []]","[[], [], [-2300], [2700], [], [], [], [], [], [3400], [4300], []]","[[], [], [-3600], [1400], [], [], [], [], [], [2100], [3000], [3700]]"
2,"[[6300], [], [], [3300], [4000], [5200], [], [], [], [], [], []]","[[], [], [], [1400], [2100], [3300], [], [], [], [], [], []]","[[], [], [], [-200], [500], [1700], [2800], [3400], [], [], [], []]","[[], [], [], [1400], [2100], [3300], [4400], [5000], [6000], [], [], []]","[[], [], [], [1000], [1700], [2900], [4000], [4600], [5600], [], [], []]","[[], [], [], [-1100], [-400], [800], [1900], [2500], [3500], [], [], []]","[[], [], [], [2700], [], [], [], [], [], [3400], [4300], []]","[[], [], [], [1400], [], [], [], [], [], [2100], [3000], [3700]]"
3,"[[6300], [], [], [], [4000], [5200], [], [], [], [], [], []]","[[], [], [], [], [2100], [3300], [], [], [], [], [], []]","[[], [], [], [], [500], [1700], [2800], [3400], [], [], [], []]","[[], [], [], [], [2100], [3300], [4400], [5000], [6000], [], [], []]","[[], [], [], [], [1700], [2900], [4000], [4600], [5600], [], [], []]","[[], [], [], [], [-400], [800], [1900], [2500], [3500], [], [], []]","[[], [], [], [], [], [], [], [], [], [3400], [4300], []]","[[], [], [], [], [], [], [], [], [], [2100], [3000], [3700]]"
4,"[[6300], [], [], [], [], [5200], [], [], [], [], [], []]","[[], [], [], [], [], [3300], [], [], [], [], [], []]","[[], [], [], [], [], [1700], [2800], [3400], [], [], [], []]","[[], [], [], [], [], [3300], [4400], [5000], [6000], [], [], []]","[[], [], [], [], [], [2900], [4000], [4600], [5600], [], [], []]","[[], [], [], [], [], [800], [1900], [2500], [3500], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]"
5,"[[6300], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [2800], [3400], [], [], [], []]","[[], [], [], [], [], [], [4400], [5000], [6000], [], [], []]","[[], [], [], [], [], [], [4000], [4600], [5600], [], [], []]","[[], [], [], [], [], [], [1900], [2500], [3500], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]"
6,"[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [3400], [], [], [], []]","[[], [], [], [], [], [], [], [5000], [6000], [], [], []]","[[], [], [], [], [], [], [], [4600], [5600], [], [], []]","[[], [], [], [], [], [], [], [2500], [3500], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]"
7,"[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [6000], [], [], []]","[[], [], [], [], [], [], [], [], [5600], [], [], []]","[[], [], [], [], [], [], [], [], [3500], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]"
8,"[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]"
9,"[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [4300], []]","[[], [], [], [], [], [], [], [], [], [], [3000], [3700]]"
10,"[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [3700]]"
11,"[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], []]"
